territory,price,price_point_id
"MDV","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJNRFYiLCJwIjoiMTAyMjcifQ"
"MEX","599.0","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJNRVgiLCJwIjoiMTAzMDYifQ"
"MKD","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJNS0QiLCJwIjoiMTAyMjcifQ"
"MLI","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJNTEkiLCJwIjoiMTAyMjcifQ"
"MLT","34.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJNTFQiLCJwIjoiMTAyNTIifQ"
"MMR","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJNTVIiLCJwIjoiMTAyMjcifQ"
"MNE","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJNTkUiLCJwIjoiMTAyMjcifQ"
"MNG","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJNTkciLCJwIjoiMTAyMjcifQ"
"MOZ","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJNT1oiLCJwIjoiMTAyMjcifQ"
"MRT","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJNUlQiLCJwIjoiMTAyMjcifQ"
"MSR","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJNU1IiLCJwIjoiMTAyMjcifQ"
"MUS","34.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJNVVMiLCJwIjoiMTAyNTIifQ"
"MWI","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJNV0kiLCJwIjoiMTAyMjcifQ"
"MYS","129.9","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJNWVMiLCJwIjoiMTAyODcifQ"
"NAM","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJOQU0iLCJwIjoiMTAyMjcifQ"
"NER","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJORVIiLCJwIjoiMTAyMjcifQ"
"NGA","49900.0","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJOR0EiLCJwIjoiMTA0NTUifQ"
"NIC","29.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJOSUMiLCJwIjoiMTAyMjcifQ"
"NLD","34.99","eyJzIjoiNjc4MTExMjYxMyIsInQiOiJOTEQiLCJwIjoiMTAyNTIifQ"
